Name,Abbr Name,ISSN,EISSN,JIF,JIF5Years,Domain,Area,Rank,Normalized Journal,Journal_Abbreviation,Acronym_Candidate
INTENSIVE CARE MEDICINE,INTENS CARE MED,0342-4642,1432-1238,27.1,24.0,CRITICAL CARE MEDICINE,Q1,2/54,intensive care medicine,,
JOURNAL OF HEPATOLOGY,J HEPATOL,0168-8278,1600-0641,26.8,28.0,GASTROENTEROLOGY & HEPATOLOGY,Q1,3/143,journal of hepatology,,
Lancet Public Health,LANCET PUBLIC HEALTH,2468-2667,2468-2667,25.4,29.9,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q1,2/403,lancet public health,,
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,MMWR-MORBID MORTAL W,0149-2195,1545-861X,25.4,18.5,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q1,2/403,mmwr morbidity and mortality weekly report,,
EUROPEAN UROLOGY,EUR UROL,0302-2838,1873-7560,25.3,19.4,UROLOGY & NEPHROLOGY,Q1,2/126,european urology,,
JAMA Pediatrics,JAMA PEDIATR,2168-6203,2168-6211,24.7,20.4,PEDIATRICS,Q1,1/186,jama pediatrics,,JAMA
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,0370-1573,1873-6270,23.9,25.7,"PHYSICS, MULTIDISCIPLINARY",Q1,3/110,physics reports review section of physics letters,,
Lancet Digital Health,LANCET DIGIT HEALTH,,2589-7500,23.8,27.7,"MEDICINE, GENERAL & INTERNAL",Q1,6/325,lancet digital health,,
JAMA Psychiatry,JAMA PSYCHIAT,2168-622X,2168-6238,22.5,22.3,PSYCHIATRY,Q1,3/276,jama psychiatry,,JAMA
Journal of Thoracic Oncology,J THORAC ONCOL,1556-0864,1556-1380,21.0,16.5,RESPIRATORY SYSTEM,Q1,2/100,journal of thoracic oncology,,
Lancet Microbe,LANCET MICROBE,,2666-5247,20.9,23.4,MICROBIOLOGY,Q1,3/161,lancet microbe,,
ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,0003-4967,1468-2060,20.3,18.4,RHEUMATOLOGY,Q1,2/57,annals of the rheumatic diseases,,
Applied Catalysis B-Environment and Energy,APPL CATAL B-ENVIRON,0926-3373,1873-3883,20.2,18.9,"ENGINEERING, ENVIRONMENTAL",Q1,1/81,applied catalysis b environment and energy,,
Cancer Communications,CANCER COMMUN,,2523-3548,20.1,16.7,ONCOLOGY,Q1,14/322,cancer communications,,
Lancet Child & Adolescent Health,LANCET CHILD ADOLESC,2352-4642,2352-4642,19.9,19.8,PEDIATRICS,Q1,2/186,lancet child and adolescent health,,
Lancet Global Health,LANCET GLOB HEALTH,2214-109X,2214-109X,19.9,26.4,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q1,6/403,lancet global health,,
ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,0003-4819,1539-3704,19.6,28.8,"MEDICINE, GENERAL & INTERNAL",Q1,8/325,annals of internal medicine,,
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,1073-449X,1535-4970,19.3,20.0,RESPIRATORY SYSTEM,Q1,3/100,american journal of respiratory and critical care medicine,,
Kidney International Supplements,KIDNEY INT SUPPL,2157-1724,2157-1716,19.3,14.2,UROLOGY & NEPHROLOGY,Q1,3/126,kidney international supplements,,
ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,0363-7425,1930-3807,19.3,17.1,MANAGEMENT,Q1,1/401,academy of management review,,
PHARMACOLOGICAL REVIEWS,PHARMACOL REV,0031-6997,1521-0081,19.3,22.1,PHARMACOLOGY & PHARMACY,Q1,2/354,pharmacological reviews,,
PROGRESS IN RETINAL AND EYE RESEARCH,PROG RETIN EYE RES,1350-9462,1873-1635,18.6,20.3,OPHTHALMOLOGY,Q1,1/95,progress in retinal and eye research,,
Psychological Science in the Public Interest,PSYCHOL SCI PUBL INT,1529-1006,1539-6053,18.2,40.0,"PSYCHOLOGY, MULTIDISCIPLINARY",Q1,2/218,psychological science in the public interest,,
PERIODONTOLOGY 2000,PERIODONTOL 2000,0906-6713,1600-0757,17.5,16.8,"DENTISTRY, ORAL SURGERY & MEDICINE",Q1,1/157,periodontology 2000,,
PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,0033-2909,1939-1455,17.3,24.1,"PSYCHOLOGY, MULTIDISCIPLINARY",Q1,3/218,psychological bulletin,,
EUROPEAN JOURNAL OF HEART FAILURE,EUR J HEART FAIL,1388-9842,1879-0844,16.9,16.2,CARDIAC & CARDIOVASCULAR SYSTEMS,Q1,5/220,european journal of heart failure,,
EUROPEAN RESPIRATORY JOURNAL,EUR RESPIR J,0903-1936,1399-3003,16.6,17.6,RESPIRATORY SYSTEM,Q1,4/100,european respiratory journal,,
CIRCULATION RESEARCH,CIRC RES,0009-7330,1524-4571,16.5,20.3,PERIPHERAL VASCULAR DISEASE,Q1,2/96,circulation research,,
NEURO-ONCOLOGY,NEURO-ONCOLOGY,1522-8517,1523-5866,16.4,14.9,ONCOLOGY,Q1,15/322,neuro oncology,,
PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,0033-3190,1423-0348,16.3,17.5,PSYCHOLOGY,Q1,4/92,psychotherapy and psychosomatics,,
Journal of Eastern European and Central Asian Research,J E EUR CENT ASIAN R,2328-8272,2328-8280,1.6,1.4,ECONOMICS,Q2,273/597,journal of eastern european and central asian research,,
Journal of Low Power Electronics and Applications,J LOW POWER ELECT AP,,2079-9268,1.6,,"ENGINEERING, ELECTRICAL & ELECTRONIC",Q3,239/352,journal of low power electronics and applications,,
Lymphatic Research and Biology,LYMPHAT RES BIOL,1539-6851,1557-8585,1.6,2.4,PHYSIOLOGY,Q4,68/85,lymphatic research and biology,,
TOWN PLANNING REVIEW,TOWN PLAN REV,0041-0020,1478-341X,1.6,1.8,URBAN STUDIES,Q3,44/77,town planning review,,TOWN
CELESTIAL MECHANICS & DYNAMICAL ASTRONOMY,CELEST MECH DYN ASTR,0923-2958,1572-9478,1.6,1.8,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",Q3,70/135,celestial mechanics and dynamical astronomy,,
Central European Public Administration Review,CENT EUR PUBLIC ADM,2591-2240,2591-2259,1.6,0.8,PUBLIC ADMINISTRATION,Q3,55/91,central european public administration review,,
CULTURAL GEOGRAPHIES,CULT GEOGR,1474-4740,1477-0881,1.6,1.9,GEOGRAPHY,Q2,75/171,cultural geographies,,
International Journal of Industrial Engineering Computations,INT J IND ENG COMP,1923-2926,1923-2934,1.6,1.9,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,Q3,65/106,international journal of industrial engineering computations,,
Journal of Signal Processing Systems for Signal Image and Video Technology,J SIGNAL PROCESS SYS,1939-8018,1939-8115,1.6,1.5,"ENGINEERING, ELECTRICAL & ELECTRONIC",Q3,239/352,journal of signal processing systems for signal image and video technology,,
SOUTH AFRICAN JOURNAL OF ECONOMICS,S AFR J ECON,0038-2280,1813-6982,1.6,1.6,ECONOMICS,Q2,273/597,south african journal of economics,,
Conservation & Society,CONSERV SOC,0972-4923,0975-3133,1.6,2.5,ENVIRONMENTAL STUDIES,Q4,140/182,conservation and society,,
Journal of Clinical Medicine Research-Canada,J CLIN MED RES-CAN,1918-3003,1918-3011,1.6,,"MEDICINE, GENERAL & INTERNAL",Q2,124/325,journal of clinical medicine research canada,,
Journal of Electromagnetic Engineering and Science,J ELECTROMAGN ENG SC,2671-7255,2671-7263,1.6,1.4,"ENGINEERING, ELECTRICAL & ELECTRONIC",Q3,239/352,journal of electromagnetic engineering and science,,
SCANDINAVIAN JOURNAL OF GASTROENTEROLOGY,SCAND J GASTROENTERO,0036-5521,1502-7708,1.6,2.3,GASTROENTEROLOGY & HEPATOLOGY,Q3,106/143,scandinavian journal of gastroenterology,,
Ethnobiology and Conservation,ETHNOBIOL CONSERV,2238-4782,2238-4782,1.6,1.5,BIODIVERSITY CONSERVATION,Q3,40/74,ethnobiology and conservation,,
Journal of Mind and Medical Sciences,J MIND MED SCI,2392-7674,2392-7674,1.6,0.9,"MEDICINE, GENERAL & INTERNAL",Q2,124/325,journal of mind and medical sciences,,
Journal of Transport and Land Use,J TRANSP LAND USE,1938-7849,1938-7849,1.6,2.5,TRANSPORTATION,Q4,44/57,journal of transport and land use,,
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART J-JOURNAL OF ENGINEERING TRIBOLOGY,P I MECH ENG J-J ENG,1350-6501,2041-305X,1.6,1.8,"ENGINEERING, MECHANICAL",Q3,109/180,proceedings of the institution of mechanical engineers part j journal of engineering tribology,,
Zdravstveno Varstvo,ZDRAV VARST,0351-0026,1854-2476,1.6,1.4,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q3,273/403,zdravstveno varstvo,,
Information Security Journal,INF SECUR J,1939-3555,1939-3547,1.6,1.8,"COMPUTER SCIENCE, INFORMATION SYSTEMS",Q3,168/249,information security journal,,
International Journal of E-Planning Research,INT J E-PLAN RES,2160-9918,2160-9926,1.6,1.5,REGIONAL & URBAN PLANNING,Q4,45/54,international journal of e planning research,,
JOURNAL OF AMBULATORY CARE MANAGEMENT,J AMBUL CARE MANAG,0148-9917,1550-3267,1.6,1.3,HEALTH CARE SCIENCES & SERVICES,Q3,112/174,journal of ambulatory care management,,
CURRENT THERAPEUTIC RESEARCH-CLINICAL AND EXPERIMENTAL,CURR THER RES CLIN E,0011-393X,1879-0313,1.6,1.8,"MEDICINE, RESEARCH & EXPERIMENTAL",Q3,137/189,current therapeutic research clinical and experimental,,
Journal of Clinical Virology Plus,J CLIN VIROL PLUS,2667-0380,2667-0380,1.6,1.6,VIROLOGY,Q4,33/41,journal of clinical virology plus,,
JOURNAL OF INTERVENTIONAL CARDIOLOGY,J INTERV CARDIOL,0896-4327,1540-8183,1.6,1.9,CARDIAC & CARDIOVASCULAR SYSTEMS,Q3,137/220,journal of interventional cardiology,,
Journal of Property Investment & Finance,J PROP INVEST FINANC,1463-578X,1470-2002,1.6,1.5,"BUSINESS, FINANCE",Q3,125/231,journal of property investment and finance,,
Transplant Immunology,TRANSPL IMMUNOL,0966-3274,1878-5492,1.6,1.5,TRANSPLANTATION,Q3,20/31,transplant immunology,,
Accounting Perspectives,ACCOUNT PERSPECT,1911-382X,1911-3838,1.6,1.9,"BUSINESS, FINANCE",Q3,125/231,accounting perspectives,,
ACTA OPTICA SINICA,ACTA OPT SIN,0253-2239,0253-2239,1.6,1.1,OPTICS,Q3,79/119,acta optica sinica,,ACTA
CHINESE JOURNAL OF GEOPHYSICS-CHINESE EDITION,CHINESE J GEOPHYS-CH,0001-5733,0001-5733,1.6,1.4,GEOCHEMISTRY & GEOPHYSICS,Q3,55/101,chinese journal of geophysics chinese edition,,CHINESE
Information and Computer Security,INF COMPUT SECUR,2056-4961,2056-4961,1.6,2.1,"COMPUTER SCIENCE, INFORMATION SYSTEMS",Q3,168/249,information and computer security,,
International Journal of Breast Cancer,INT J BREAST CANCER,2090-3170,2090-3189,1.6,1.9,ONCOLOGY,Q4,253/322,international journal of breast cancer,,
International Journal of Population Data Science (IJPDS),INT J POPUL DATA SCI,,2399-4908,1.6,,"SOCIAL SCIENCES, INTERDISCIPLINARY",Q2,81/263,international journal of population data science (ijpds),,
Middle East Fertility Society Journal,MIDDLE EAST FERTIL S,1110-5690,2090-3251,1.6,1.5,REPRODUCTIVE BIOLOGY,Q4,32/39,middle east fertility society journal,,
Revista Portuguesa de Cardiologia,REV PORT CARDIOL,0870-2551,0304-4750,1.6,1.5,CARDIAC & CARDIOVASCULAR SYSTEMS,Q3,137/220,revista portuguesa de cardiologia,,
Chinese Journal of Urban and Environmental Studies,CHIN J URBAN ENV STU,2345-7481,2345-752X,1.6,1.2,URBAN STUDIES,Q3,44/77,chinese journal of urban and environmental studies,,
Journal of Public Mental Health,J PUBLIC MENT HEALTH,1746-5729,2042-8731,1.6,1.4,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q3,273/403,journal of public mental health,,
Team Performance Management,TEAM PERFORM MANAG,1352-7592,1758-6860,1.6,2.1,MANAGEMENT,Q3,280/401,team performance management,,
Archives of Endocrinology Metabolism,ARCH ENDOCRIN METAB,2359-3997,2359-4292,1.6,1.8,ENDOCRINOLOGY & METABOLISM,Q4,149/186,archives of endocrinology metabolism,,
Asia Pacific Allergy,ASIA PAC ALLERGY,2233-8276,2233-8268,1.6,1.7,ALLERGY,Q3,27/39,asia pacific allergy,,
JOURNAL OF INVASIVE CARDIOLOGY,J INVASIVE CARDIOL,1042-3931,1557-2501,1.6,1.5,CARDIAC & CARDIOVASCULAR SYSTEMS,Q3,137/220,journal of invasive cardiology,,
Journal of Neuroscience Psychology and Economics,J NEUROSCI PSYCHOL E,1937-321X,2151-318X,1.6,1.4,"PSYCHOLOGY, MULTIDISCIPLINARY",Q2,109/218,journal of neuroscience psychology and economics,,
MICROSYSTEM TECHNOLOGIES-MICRO-AND NANOSYSTEMS-INFORMATION STORAGE AND PROCESSING SYSTEMS,MICROSYST TECHNOL,0946-7076,1432-1858,1.6,1.6,"PHYSICS, APPLIED",Q3,131/179,microsystem technologies micro and nanosystems information storage and processing systems,,
ARCTIC ANTARCTIC AND ALPINE RESEARCH,ARCT ANTARCT ALP RES,1523-0430,1938-4246,1.6,1.9,"GEOGRAPHY, PHYSICAL",Q3,41/65,arctic antarctic and alpine research,,
International Journal of Surgical Oncology,INT J SURG ONCOL,2090-1402,2090-1410,1.6,2.3,ONCOLOGY,Q4,253/322,international journal of surgical oncology,,
Journal for Specialists in Group Work,J SPEC GROUP WORK,0193-3922,1549-6295,1.6,1.6,"PSYCHOLOGY, CLINICAL",Q3,110/180,journal for specialists in group work,,
Jurnal Tribologi,J TRIBOLOGI,2289-7232,2289-7232,1.6,1.2,"ENGINEERING, MECHANICAL",Q3,109/180,jurnal tribologi,,
Qualitative Market Research,QUAL MARK RES,1352-2752,1758-7646,1.6,2.1,BUSINESS,Q3,210/302,qualitative market research,,
Canadian Geriatrics Journal,CAN GERIATR J,,1925-8348,1.6,2.7,GERIATRICS & GERONTOLOGY,Q4,57/74,canadian geriatrics journal,,
Technology Innovation Management Review,TECHNOL INNOV MANAG,1927-0321,1927-0321,1.6,2.9,MANAGEMENT,Q3,280/401,technology innovation management review,,
Collnet Journal of Scientometrics and Information Management,COLLNET J SCIENTOMET,0973-7766,2168-930X,1.6,1.4,INFORMATION SCIENCE & LIBRARY SCIENCE,Q2,65/160,collnet journal of scientometrics and information management,,
Iranian Journal of Medical Sciences,IRAN J MED SCI,0253-0716,1735-3688,1.6,1.8,"MEDICINE, GENERAL & INTERNAL",Q2,124/325,iranian journal of medical sciences,,
Journal of Aging Research,J AGING RES,2090-2204,2090-2212,1.6,3.1,GERIATRICS & GERONTOLOGY,Q4,57/74,journal of aging research,,
Journal of Human Capital,J HUM CAPITAL,1932-8575,1932-8664,1.6,1.8,ECONOMICS,Q2,273/597,journal of human capital,,
Revista Espanola de Medicina Nuclear e Imagen Molecular,REV ESP MED NUCL IMA,2253-654X,,1.6,1.2,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Q3,122/204,revista espanola de medicina nuclear e imagen molecular,,
Romanian Journal of Internal Medicine,ROM J INTERN MED,1582-3296,2501-062X,1.6,1.7,"MEDICINE, GENERAL & INTERNAL",Q2,124/325,romanian journal of internal medicine,,
Visitor Studies,VISIT STUD,1064-5578,1934-7715,1.6,2.3,"HOSPITALITY, LEISURE, SPORT & TOURISM",Q3,82/139,visitor studies,,
International Journal of Innovation and Technology Management,INT J INNOV TECHNOL,0219-8770,1793-6950,1.6,2.2,MANAGEMENT,Q3,280/401,international journal of innovation and technology management,,
MATERIALS AND CORROSION-WERKSTOFFE UND KORROSION,MATER CORROS,0947-5117,1521-4176,1.6,1.8,METALLURGY & METALLURGICAL ENGINEERING,Q2,44/90,materials and corrosion werkstoffe und korrosion,,
Communicable Diseases Intelligence,COMMUN DIS INTELL,0725-3141,2209-6051,1.6,1.5,INFECTIOUS DISEASES,Q4,100/132,communicable diseases intelligence,,
ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES,ECHOCARDIOGR-J CARD,0742-2822,1540-8175,1.6,1.7,CARDIAC & CARDIOVASCULAR SYSTEMS,Q3,137/220,echocardiography a journal of cardiovascular ultrasound and allied techniques,,
International Maritime Health,INT MARIT HEALTH,1641-9251,2081-3252,1.6,1.5,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q3,273/403,international maritime health,,
Sensor Review,SENSOR REV,0260-2288,1758-6828,1.6,1.6,INSTRUMENTS & INSTRUMENTATION,Q3,48/76,sensor review,,
Central European Business Review,CENT EUR BUS REV,,1805-4862,1.6,1.5,BUSINESS,Q3,210/302,central european business review,,
Biophysics and Physicobiology,BIOPHYS PHYSICOBIOL,,2189-4779,1.6,1.4,BIOPHYSICS,Q4,60/77,biophysics and physicobiology,,
Electrical Engineering & Electromechanics,ELECTR ENG ELECTROME,2074-272X,2309-3404,1.6,0.9,"ENGINEERING, ELECTRICAL & ELECTRONIC",Q3,239/352,electrical engineering and electromechanics,,
Journal of Gastrointestinal Cancer,J GASTROINTEST CANC,1941-6628,1941-6636,1.6,1.4,ONCOLOGY,Q4,253/322,journal of gastrointestinal cancer,,
Organization Technology and Management in Construction,ORGAN TECHNOL MANAG,1847-5450,1847-6228,1.6,1.7,MANAGEMENT,Q3,280/401,organization technology and management in construction,,
Future Cardiology,FUTUR CARDIOL,1479-6678,1744-8298,1.6,1.6,CARDIAC & CARDIOVASCULAR SYSTEMS,Q3,137/220,future cardiology,,
GROWTH HORMONE & IGF RESEARCH,GROWTH HORM IGF RES,1096-6374,1532-2238,1.6,1.7,ENDOCRINOLOGY & METABOLISM,Q4,149/186,growth hormone and igf research,,GROWTH
Italian Journal of Agrometeorology-Rivista Italiana di Agrometeorologia,ITAL J AGROMETEOROL,2038-5625,2038-5625,1.6,1.2,METEOROLOGY & ATMOSPHERIC SCIENCES,Q4,90/110,italian journal of agrometeorology rivista italiana di agrometeorologia,,
Journal of Vascular Access,J VASC ACCESS,1129-7298,1724-6032,1.6,1.9,PERIPHERAL VASCULAR DISEASE,Q3,65/96,journal of vascular access,,
Preventive Nutrition and Food Science,PREV NUTR FOOD SCI,2287-1098,2287-8602,1.6,,NUTRITION & DIETETICS,Q4,90/114,preventive nutrition and food science,,
Journal of Economics,J ECON,0931-8658,1617-7134,1.6,1.4,ECONOMICS,Q2,273/597,journal of economics,,
EUROPEAN PHYSICAL JOURNAL B,EUR PHYS J B,1434-6028,1434-6036,1.6,1.3,"PHYSICS, CONDENSED MATTER",Q3,55/79,european physical journal b,,
SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE,S AFR J HIV MED,1608-9693,2078-6751,1.6,1.9,VIROLOGY,Q4,33/41,southern african journal of hiv medicine,,
Manufacturing Technology,MANUF TECHNOL,1213-2489,2787-9402,1.6,,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q4,331/438,manufacturing technology,,
Tribology-Materials Surfaces & Interfaces,TRIBOL-MATER SURF IN,1751-5831,1751-584X,1.6,1.8,"MATERIALS SCIENCE, COATINGS & FILMS",Q4,18/23,tribology materials surfaces and interfaces,,
POLYMER SCIENCE SERIES C,POLYM SCI SER C+,1811-2382,1555-614X,1.6,1.4,POLYMER SCIENCE,Q4,74/94,polymer science series c,,
LIBRARY JOURNAL,LIBR J,0363-0277,,1.6,3.7,INFORMATION SCIENCE & LIBRARY SCIENCE,Q2,65/160,library journal,,
Theory and Practice of Legislation,THEORY PRACT LEGIS,2050-8840,2050-8859,1.5,1.9,LAW,Q1,62/421,theory and practice of legislation,,
Nan Nu-Men Women and Gender in China,NAN NU,1387-6805,1568-5268,1.5,1.6,ASIAN STUDIES,N/A,N/A,nan nu men women and gender in china,,
Empirical Studies of the Arts,EMPIR STUD ARTS,0276-2374,1541-4493,1.5,1.6,"PSYCHOLOGY, MULTIDISCIPLINARY",Q3,112/218,empirical studies of the arts,,
Nations and Nationalism,NATIONS NATL,1354-5078,1469-8129,1.5,1.9,SOCIOLOGY,Q2,102/217,nations and nationalism,,
Journal of Asian Public Policy,J ASIAN PUBLIC POLIC,1751-6234,1751-6242,1.5,1.9,AREA STUDIES,Q1,22/176,journal of asian public policy,,
REVIEW OF RELIGIOUS RESEARCH,REV RELIG RES,0034-673X,2211-4866,1.5,1.4,SOCIOLOGY,Q2,102/217,review of religious research,,
German Law Journal,GERMAN LAW J,,2071-8322,1.5,,LAW,Q1,62/421,german law journal,,
International Journal of Cultural Studies,INT J CULTURAL STUD,1367-8779,1460-356X,1.5,2.1,CULTURAL STUDIES,Q1,12/59,international journal of cultural studies,,
JOURNAL OF CONTEMPORARY PSYCHOTHERAPY,J CONTEMP PSYCHOTHER,0022-0116,1573-3564,1.5,1.8,"PSYCHOLOGY, CLINICAL",Q3,114/180,journal of contemporary psychotherapy,,
Education for Primary Care,EDUC PRIM CARE,1473-9879,1475-990X,1.5,1.2,PRIMARY HEALTH CARE,Q3,22/30,education for primary care,,
Russian Journal of Linguistics,RUSS J LINGUIST,2687-0088,2686-8024,1.5,1.4,LANGUAGE & LINGUISTICS,N/A,N/A,russian journal of linguistics,,
MODERN LAW REVIEW,MOD LAW REV,0026-7961,1468-2230,1.5,1.7,LAW,Q1,62/421,modern law review,,
Language Awareness,LANG AWARE,0965-8416,1747-7565,1.5,2.0,LINGUISTICS,Q2,81/297,language awareness,,
Cambridge Law Journal,CAMB LAW J,0008-1973,1469-2139,1.5,1.5,LAW,Q1,62/421,cambridge law journal,,
Youth Violence and Juvenile Justice,YOUTH VIOLENCE JUV J,1541-2040,1556-9330,1.5,2.6,CRIMINOLOGY & PENOLOGY,Q2,46/113,youth violence and juvenile justice,,
INDIANA LAW JOURNAL,INDIANA LAW J,0019-6665,2169-3218,1.5,1.4,LAW,Q1,62/421,indiana law journal,,INDIANA
Journal of International Criminal Justice,J INT CRIM JUSTICE,1478-1387,1478-1395,1.5,1.1,LAW,Q1,62/421,journal of international criminal justice,,
Dissertationes Mathematicae,DISS MATH,0012-3862,1730-6310,1.5,1.4,MATHEMATICS,Q1,52/489,dissertationes mathematicae,,
JOURNAL OF POLITICAL ECONOMY,J POLIT ECON,0022-3808,1537-534X,6.9,11.2,ECONOMICS,Q1,19/597,journal of political economy,,
Financial Innovation,FINANC INNOV,,2199-4730,6.9,6.8,"SOCIAL SCIENCES, MATHEMATICAL METHODS",Q1,3/67,financial innovation,,
JOURNAL OF ECONOMIC PERSPECTIVES,J ECON PERSPECT,0895-3309,1944-7965,6.9,13.1,ECONOMICS,Q1,19/597,journal of economic perspectives,,
MAYO CLINIC PROCEEDINGS,MAYO CLIN PROC,0025-6196,1942-5546,6.9,8.0,"MEDICINE, GENERAL & INTERNAL",Q1,24/325,mayo clinic proceedings,,MAYO
JOURNAL OF GASTROENTEROLOGY,J GASTROENTEROL,0944-1174,1435-5922,6.9,6.4,GASTROENTEROLOGY & HEPATOLOGY,Q1,16/143,journal of gastroenterology,,
Genes & Diseases,GENES DIS,2352-4820,2352-3042,6.9,7.2,GENETICS & HEREDITY,Q1,16/191,genes and diseases,,
BLOOD REVIEWS,BLOOD REV,0268-960X,1532-1681,6.9,7.7,HEMATOLOGY,Q1,14/97,blood reviews,,BLOOD
PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,PROCESS SAF ENVIRON,0957-5820,1744-3598,6.9,7.0,"ENGINEERING, ENVIRONMENTAL",Q1,16/81,process safety and environmental protection,,PROCESS
Alcohol Research-Current Reviews,ALCOHOL RES-CURR REV,1535-7414,1930-0573,6.8,12.5,SUBSTANCE ABUSE,Q1,1/55,alcohol research current reviews,,
REVIEW OF FINANCIAL STUDIES,REV FINANC STUD,0893-9454,1465-7368,6.8,9.5,ECONOMICS,Q1,22/597,review of financial studies,,
JOURNAL OF INTERACTIVE MARKETING,J INTERACT MARK,1094-9968,1520-6653,6.8,10.0,BUSINESS,Q1,37/302,journal of interactive marketing,,
Annual Review of Economics,ANNU REV ECON,1941-1383,1941-1391,6.8,9.4,ECONOMICS,Q1,22/597,annual review of economics,,
Annals of the American Thoracic Society,ANN AM THORAC SOC,1546-3222,2325-6621,6.8,6.8,RESPIRATORY SYSTEM,Q1,11/100,annals of the american thoracic society,,
Journal of Purchasing and Supply Management,J PURCH SUPPLY MANAG,1478-4092,1873-6505,6.8,7.2,MANAGEMENT,Q1,51/401,journal of purchasing and supply management,,
Diabetes & Metabolism Journal,DIABETES METAB J,2233-6079,2233-6087,6.8,5.8,ENDOCRINOLOGY & METABOLISM,Q1,18/186,diabetes and metabolism journal,,
International Journal of Bioprinting,INT J BIOPRINTING,2424-7723,2424-8002,6.8,6.9,"MATERIALS SCIENCE, BIOMATERIALS",Q1,10/53,international journal of bioprinting,,
Child and Adolescent Mental Health,CHILD ADOL MENT H-UK,1475-357X,1475-3588,6.8,5.2,"PSYCHOLOGY, CLINICAL",Q1,4/180,child and adolescent mental health,,
