JCR_Position,Name,JCR Year,Abbr Name,Publisher,ISSN,EISSN,Total Cites,Total Articles,Citable Items,Cited Half-Life,Citing Half-Life,JIF,JIF5Years,JIF_NoSelfCite,JCI,Area,Rank,Normalized Journal,Journal_Abbreviation,SJR_Score,SJR_Quartile,H_Index,SJR_Categories,SJR_Areas
11.0,NATURE REVIEWS CANCER,2024.0,NAT REV CANCER,NATURE PORTFOLIO,1474-175X,1474-1768,60054.0,17.0,63.0,9.4,5.4,66.8,81.0,66.4,9.04,Q1,3/326,nature reviews cancer,Nat. Rev. Cancer,26.837,Q1,505.0,Cancer Research (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
12.0,World Psychiatry,2024.0,WORLD PSYCHIATRY,WILEY,1723-8617,2051-5545,13954.0,21.0,21.0,6.3,6.4,65.8,60.0,60.7,12.18,Q1,1/288,world psychiatry,World Psychiatry,15.827,Q1,140.0,Psychiatry and Mental Health (Q1),Medicine
13.0,ANNALS OF ONCOLOGY,2024.0,ANN ONCOL,ELSEVIER,0923-7534,1569-8041,64093.0,74.0,80.0,6.3,4.3,65.4,46.8,64.5,8.38,Q1,4/326,annals of oncology,Ann. Oncol.,13.942,Q1,294.0,Hematology (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1),Medicine
14.0,Living Reviews in Relativity,2024.0,LIVING REV RELATIV,SPRINGER INT PUBL AG,2367-3613,1433-8351,5042.0,0.0,6.0,11.0,13.3,62.5,52.4,62.5,5.86,Q1,1/31,living reviews in relativity,Living Rev. Relativ.,10.188,Q1,93.0,Physics and Astronomy (miscellaneous) (Q1),Physics and Astronomy
15.0,NATURE REVIEWS IMMUNOLOGY,2024.0,NAT REV IMMUNOL,NATURE PORTFOLIO,1474-1733,1474-1741,64754.0,76.0,124.0,8.6,6.8,60.9,77.6,60.5,7.86,Q1,1/183,nature reviews immunology,Nat. Rev. Immunol.,16.009,Q1,467.0,Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1),Immunology and Microbiology; Medicine
16.0,Nature Reviews Disease Primers,2024.0,NAT REV DIS PRIMERS,NATURE PORTFOLIO,2056-676X,2056-676X,37841.0,4.0,42.0,5.8,6.9,60.6,104.8,60.6,21.18,Q1,3/332,nature reviews disease primers,Nat. Rev. Dis. Primers,10.215,Q1,186.0,Medicine (miscellaneous) (Q1),Medicine
17.0,MMWR Recommendations and Reports,2024.0,MMWR RECOMM REP,CENTERS DISEASE CONTROL & PREVENTION,1057-5987,1545-8601,3411.0,6.0,6.0,8.0,14.9,60.1,50.0,60.0,10.91,Q1,1/419,mmwr recommendations and reports,MMWR Recomm. Rep.,14.618,Q1,160.0,"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)",Environmental Science; Health Professions; Medicine; Social Sciences
17.0,Nature Energy,2024.0,NAT ENERGY,NATURE PORTFOLIO,2058-7546,2058-7546,55904.0,214.0,222.0,4.8,4.7,60.1,68.9,59.4,8.48,Q1,2/460,nature energy,Nat. Energy,17.497,Q1,229.0,"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Energy; Materials Science
19.0,Nature Reviews Methods Primers,2024.0,NAT REV METHOD PRIME,SPRINGERNATURE,,2662-8449,9349.0,26.0,64.0,2.7,6.5,56.0,66.9,55.8,9.39,Q1,1/135,nature reviews methods primers,Nat. Rev. Methods Primers,12.294,Q1,46.0,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine"
20.0,CHEMICAL REVIEWS,2024.0,CHEM REV,AMER CHEMICAL SOC,0009-2665,1520-6890,246622.0,0.0,212.0,8.3,7.4,55.8,67.5,55.3,4.03,Q1,1/239,chemical reviews,Chem. Rev.,17.828,Q1,833.0,Chemistry (miscellaneous) (Q1),Chemistry
21.0,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,2024.0,JAMA-J AM MED ASSOC,AMER MEDICAL ASSOC,0098-7484,1538-3598,194087.0,180.0,232.0,8.6,5.5,55.0,64.7,53.9,11.47,Q1,4/332,jama journal of the american medical association,JAMA,5.928,Q1,768.0,Medicine (miscellaneous) (Q1),Medicine
22.0,Signal Transduction and Targeted Therapy,2024.0,SIGNAL TRANSDUCT TAR,SPRINGERNATURE,2095-9907,2059-3635,51196.0,156.0,245.0,2.8,6.0,52.7,52.2,52.1,5.04,Q1,1/319,signal transduction and targeted therapy,Signal Transduction Targeted Ther.,8.737,Q1,117.0,Cancer Research (Q1); Genetics (Q1),"Biochemistry, Genetics and Molecular Biology"
23.0,NATURE REVIEWS GENETICS,2024.0,NAT REV GENET,NATURE PORTFOLIO,1471-0056,1471-0064,42931.0,0.0,54.0,9.1,5.9,52.0,57.1,51.5,6.66,Q1,1/191,nature reviews genetics,Nat. Rev. Genet.,14.293,Q1,421.0,Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
24.0,Nature Reviews Chemistry,2024.0,NAT REV CHEM,NATURE PORTFOLIO,,2397-3358,16326.0,0.0,48.0,4.1,6.4,51.7,49.4,51.4,3.28,Q1,2/239,nature reviews chemistry,Nat. Rev. Chem.,11.603,Q1,109.0,Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1),Chemical Engineering; Chemistry
25.0,Nature Reviews Gastroenterology & Hepatology,2024.0,NAT REV GASTRO HEPAT,NATURE PORTFOLIO,1759-5045,1759-5053,30358.0,0.0,48.0,5.3,5.9,51.0,72.4,50.4,8.1,Q1,1/147,nature reviews gastroenterology and hepatology,Nat. Rev. Gastroenterol. Hepatol.,9.741,Q1,193.0,Gastroenterology (Q1); Hepatology (Q1),Medicine
26.0,NATURE MEDICINE,2024.0,NAT MED,NATURE PORTFOLIO,1078-8956,1546-170X,133694.0,325.0,343.0,6.3,5.0,50.0,52.4,49.2,11.03,Q1,1/195,nature medicine,Nat. Med.,19.045,Q1,630.0,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine"
27.0,MMWR Surveillance Summaries,2024.0,MMWR SURVEILL SUMM,CENTERS DISEASE CONTROL & PREVENTION,1545-8636,1545-8636,3499.0,3.0,3.0,6.1,,49.8,34.1,49.8,15.95,Q1,2/419,mmwr surveillance summaries,MMWR Surveill. Summ.,10.275,Q1,121.0,"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)",Environmental Science; Health Professions; Medicine; Social Sciences
28.0,NATURE,2024.0,NATURE,NATURE PORTFOLIO,0028-0836,1476-4687,965275.0,1361.0,1393.0,10.0,7.2,48.5,55.0,47.7,11.12,Q1,2/135,nature,Nature,18.509,Q1,1391.0,Multidisciplinary (Q1),Multidisciplinary
29.0,IEEE Communications Surveys and Tutorials,2024.0,IEEE COMMUN SURV TUT,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,,1553-877X,33160.0,74.0,74.0,5.2,5.2,46.7,42.8,45.6,10.2,Q1,1/258,ieee communications surveys and tutorials,IEEE Commun. Surv. Tutorials,15.966,Q1,264.0,Electrical and Electronic Engineering (Q1),Engineering
30.0,SCIENCE,2024.0,SCIENCE,AMER ASSOC ADVANCEMENT SCIENCE,0036-8075,1095-9203,785913.0,768.0,800.0,11.5,7.5,45.8,49.7,45.3,8.98,Q1,3/135,science,Science,11.902,Q1,1336.0,History and Philosophy of Science (Q1); Multidisciplinary (Q1),Arts and Humanities; Multidisciplinary
31.0,LANCET NEUROLOGY,2024.0,LANCET NEUROL,ELSEVIER SCIENCE INC,1474-4422,1474-4465,52666.0,61.0,79.0,7.2,4.6,45.5,56.2,44.6,12.19,Q1,1/285,lancet neurology,Lancet Neurol.,,,,,
32.0,REVIEWS OF MODERN PHYSICS,2024.0,REV MOD PHYS,AMER PHYSICAL SOC,0034-6861,1539-0756,65614.0,0.0,32.0,14.9,9.9,44.8,56.3,44.6,4.08,Q1,1/114,reviews of modern physics,Rev. Mod. Phys.,16.061,Q1,388.0,Physics and Astronomy (miscellaneous) (Q1),Physics and Astronomy
33.0,Nature Catalysis,2024.0,NAT CATAL,NATURE PORTFOLIO,2520-1158,2520-1158,32070.0,156.0,165.0,4.1,6.5,44.6,47.4,44.2,5.63,Q1,1/185,nature catalysis,Nat. Catal.,13.315,Q1,136.0,Biochemistry (Q1); Bioengineering (Q1); Catalysis (Q1); Process Chemistry and Technology (Q1),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering"
34.0,CANCER CELL,2024.0,CANCER CELL,CELL PRESS,1535-6108,1878-3686,56241.0,105.0,112.0,7.0,5.8,44.5,47.2,43.9,8.11,Q1,5/326,cancer cell,Cancer Cell,17.507,Q1,398.0,Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
35.0,Nature Reviews Cardiology,2024.0,NAT REV CARDIOL,NATURE PORTFOLIO,1759-5002,1759-5010,22153.0,4.0,52.0,4.9,7.0,44.2,52.9,43.7,8.32,Q1,1/230,nature reviews cardiology,Nat. Rev. Cardiol.,8.408,Q1,183.0,Cardiology and Cardiovascular Medicine (Q1),Medicine
36.0,BMJ-British Medical Journal,2024.0,BMJ-BRIT MED J,BMJ PUBLISHING GROUP,0959-535X,1756-1833,173910.0,132.0,153.0,8.6,3.9,42.7,76.1,40.4,9.96,Q1,5/332,bmj british medical journal,BMJ,,,,,
37.0,CELL,2024.0,CELL,CELL PRESS,0092-8674,1097-4172,310873.0,357.0,409.0,9.3,7.3,42.5,48.9,41.9,7.99,Q1,3/319,cell,Cell,24.342,Q1,892.0,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology"
38.0,JOURNAL OF CLINICAL ONCOLOGY,2024.0,J CLIN ONCOL,LIPPINCOTT WILLIAMS & WILKINS,0732-183X,1527-7755,169483.0,342.0,365.0,7.8,5.9,41.9,37.7,41.1,6.68,Q1,6/326,journal of clinical oncology,J. Clin. Oncol.,10.639,Q1,624.0,Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
39.0,Lancet Diabetes & Endocrinology,2024.0,LANCET DIABETES ENDO,ELSEVIER SCIENCE INC,2213-8587,2213-8595,22003.0,56.0,67.0,5.1,5.3,41.8,41.7,41.1,8.5,Q1,1/191,lancet diabetes and endocrinology,Lancet Diabetes Endocrinol.,,,,,
40.0,NATURE BIOTECHNOLOGY,2024.0,NAT BIOTECHNOL,NATURE PORTFOLIO,1087-0156,1546-1696,100474.0,256.0,265.0,6.9,5.8,41.7,59.5,41.0,8.57,Q1,2/177,nature biotechnology,Nat. Biotechnol.,18.117,Q1,511.0,Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Immunology and Microbiology"
41.0,Nature Electronics,2024.0,NAT ELECTRON,NATURE PORTFOLIO,2520-1131,2520-1131,20582.0,146.0,156.0,3.8,5.3,40.9,42.0,40.1,5.8,Q1,1/366,nature electronics,Nat. Electron.,11.667,Q1,109.0,"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Instrumentation (Q1)",Engineering; Materials Science; Physics and Astronomy
42.0,Journal of Hematology & Oncology,2024.0,J HEMATOL ONCOL,BMC,,1756-8722,27071.0,33.0,79.0,4.1,4.9,40.4,34.4,40.0,5.04,Q1,1/98,journal of hematology and oncology,J. Hematol. Oncol.,7.522,Q1,144.0,Cancer Research (Q1); Hematology (Q1); Molecular Biology (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
43.0,Nature Reviews Endocrinology,2024.0,NAT REV ENDOCRINOL,NATURE PORTFOLIO,1759-5029,1759-5037,23507.0,3.0,50.0,6.2,6.7,40.0,47.0,39.6,4.95,Q1,2/191,nature reviews endocrinology,Nat. Rev. Endocrinol.,7.274,Q1,203.0,"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine"
43.0,PROGRESS IN MATERIALS SCIENCE,2024.0,PROG MATER SCI,PERGAMON-ELSEVIER SCIENCE LTD,0079-6425,1873-2208,36931.0,0.0,126.0,5.8,5.4,40.0,44.8,39.6,2.42,Q1,3/460,progress in materials science,Prog. Mater Sci.,7.796,Q1,235.0,Materials Science (miscellaneous) (Q1),Materials Science
45.0,Nature Reviews Nephrology,2024.0,NAT REV NEPHROL,NATURE PORTFOLIO,1759-5061,1759-507X,19202.0,3.0,48.0,5.3,6.9,39.8,44.5,39.3,7.36,Q1,2/133,nature reviews nephrology,Nat. Rev. Nephrol.,5.939,Q1,161.0,Nephrology (Q1),Medicine
46.0,Nature Reviews Physics,2024.0,NAT REV PHYS,NATURE PORTFOLIO,,2522-5820,12208.0,0.0,48.0,3.6,6.4,39.5,53.2,39.2,3.03,Q1,1/187,nature reviews physics,Nat. Rev. Phys.,7.833,Q1,70.0,Physics and Astronomy (miscellaneous) (Q1),Physics and Astronomy
47.0,CHEMICAL SOCIETY REVIEWS,2024.0,CHEM SOC REV,ROYAL SOC CHEMISTRY,0306-0012,1460-4744,183460.0,0.0,309.0,7.4,5.8,39.0,50.1,38.6,2.95,Q1,3/239,chemical society reviews,Chem. Soc. Rev.,12.511,Q1,635.0,Chemistry (miscellaneous) (Q1),Chemistry
48.0,CIRCULATION,2024.0,CIRCULATION,LIPPINCOTT WILLIAMS & WILKINS,0009-7322,1524-4539,177978.0,246.0,310.0,10.5,6.5,38.6,35.9,37.7,9.01,Q1,1/98,circulation,Circulation,8.415,Q1,674.0,Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1),Medicine
48.0,Lancet Gastroenterology & Hepatology,2024.0,LANCET GASTROENTEROL,ELSEVIER INC,,2468-1253,16102.0,52.0,68.0,3.7,4.9,38.6,34.0,38.1,6.9,Q1,2/147,lancet gastroenterology and hepatology,Lancet Gastroenterol.,,,,,
50.0,NATURE MATERIALS,2024.0,NAT MATER,NATURE PORTFOLIO,1476-1122,1476-4660,115316.0,271.0,281.0,8.3,6.7,38.5,46.8,38.2,5.99,Q1,1/79,nature materials,Nat. Mater.,14.231,Q1,558.0,Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1),Chemistry; Engineering; Materials Science; Physics and Astronomy
51.0,Nature Reviews Bioengineering,2024.0,NAT REV BIOENG,SPRINGERNATURE,,2731-6092,2516.0,1.0,72.0,1.3,5.7,37.6,37.6,36.8,3.25,Q1,1/124,nature reviews bioengineering,Nat. Rev. Bioeng.,,,,,
52.0,REVIEWS OF GEOPHYSICS,2024.0,REV GEOPHYS,AMER GEOPHYSICAL UNION,8755-1209,1944-9208,18402.0,0.0,15.0,12.8,9.1,37.3,34.6,37.2,3.26,Q1,1/100,reviews of geophysics,Rev. Geophys.,8.853,Q1,191.0,Geophysics (Q1),Earth and Planetary Sciences
53.0,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,2024.0,PROG ENERG COMBUST,PERGAMON-ELSEVIER SCIENCE LTD,0360-1285,1873-216X,18841.0,0.0,27.0,7.8,7.9,37.0,39.3,36.8,2.67,Q1,1/175,progress in energy and combustion science,Prog. Energy Combust. Sci.,6.114,Q1,228.0,Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1),Chemical Engineering; Energy
54.0,eScience,2024.0,ESCIENCE,KEAI PUBLISHING LTD,2097-2431,2667-1417,5679.0,40.0,63.0,1.8,4.7,36.6,35.9,35.9,5.58,Q1,5/460,escience,eScience,12.288,Q1,44.0,"Electrochemistry (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Chemistry; Energy; Materials Science
55.0,Nano-Micro Letters,2024.0,NANO-MICRO LETT,SHANGHAI JIAO TONG UNIV PRESS,2311-6706,2150-5551,35542.0,186.0,266.0,2.6,4.2,36.3,30.1,34.6,5.04,Q1,2/147,nano micro letters,Nano Micro Lett.,6.484,Q1,116.0,"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Nanoscience and Nanotechnology (Q1); Surfaces, Coatings and Films (Q1)",Engineering; Materials Science
55.0,Electrochemical Energy Reviews,2024.0,ELECTROCHEM ENERGY R,SPRINGERNATURE,2520-8489,2520-8136,5833.0,0.0,34.0,3.3,5.4,36.3,34.1,35.7,2.36,Q1,2/44,electrochemical energy reviews,Electrochem. Energy Rev.,6.791,Q1,62.0,Chemical Engineering (miscellaneous) (Q1); Electrochemistry (Q1); Energy Engineering and Power Technology (Q1); Materials Science (miscellaneous) (Q1),Chemical Engineering; Chemistry; Energy; Materials Science
57.0,LANCET ONCOLOGY,2024.0,LANCET ONCOL,ELSEVIER SCIENCE INC,1470-2045,1474-5488,74077.0,140.0,168.0,6.7,4.7,35.9,42.0,35.3,8.68,Q1,8/326,lancet oncology,Lancet Oncol.,,,,,
58.0,EUROPEAN HEART JOURNAL,2024.0,EUR HEART J,OXFORD UNIV PRESS,0195-668X,1522-9645,90583.0,264.0,340.0,5.7,5.2,35.6,34.4,32.6,8.05,Q1,3/230,european heart journal,Eur. Heart J.,4.091,Q1,348.0,Cardiology and Cardiovascular Medicine (Q1),Medicine
59.0,Joule,2024.0,JOULE,CELL PRESS,2542-4351,2542-4351,44869.0,146.0,183.0,4.4,4.6,35.4,43.7,34.8,4.0,Q1,3/185,joule,Joule,11.724,Q1,187.0,Energy (miscellaneous) (Q1),Energy
60.0,Nature Nanotechnology,2024.0,NAT NANOTECHNOL,NATURE PORTFOLIO,1748-3387,1748-3395,80966.0,195.0,208.0,7.1,6.0,34.9,40.4,34.6,5.0,Q1,8/460,nature nanotechnology,Nat. Nanotechnol.,14.577,Q1,419.0,"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)",Chemical Engineering; Engineering; Materials Science; Physics and Astronomy
61.0,Annual Review of Pathology-Mechanisms of Disease,2024.0,ANNU REV PATHOL-MECH,ANNUAL REVIEWS,1553-4006,1553-4014,9486.0,0.0,22.0,6.7,7.4,34.5,39.7,34.4,6.8,Q1,1/90,annual review of pathology mechanisms of disease,Annu. Rev. Pathol.: Pathol. Mech. Dis.,11.748,Q1,147.0,Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1),Agricultural and Biological Sciences; Medicine
62.0,Molecular Cancer,2024.0,MOL CANCER,BMC,,1476-4598,42332.0,124.0,218.0,4.6,4.9,33.9,35.9,33.3,5.04,Q1,4/319,molecular cancer,Mol. Cancer,8.222,Q1,196.0,Cancer Research (Q1); Molecular Medicine (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
63.0,Cancer Discovery,2024.0,CANCER DISCOV,AMER ASSOC CANCER RESEARCH,2159-8274,2159-8290,36517.0,98.0,108.0,5.1,5.8,33.3,33.0,32.8,6.22,Q1,10/326,cancer discovery,Cancer Discov.,7.533,Q1,229.0,Oncology (Q1),Medicine
63.0,Annual Review of Immunology,2024.0,ANNU REV IMMUNOL,ANNUAL REVIEWS,0732-0582,1545-3278,19882.0,0.0,25.0,11.5,7.7,33.3,37.7,33.2,3.64,Q1,2/183,annual review of immunology,Annu. Rev. Immunol.,15.62,Q1,328.0,Immunology (Q1); Immunology and Allergy (Q1),Immunology and Microbiology; Medicine
65.0,iMeta,2024.0,IMETA,WILEY,2770-5986,2770-596X,3418.0,50.0,56.0,2.1,5.6,33.2,33.2,32.0,5.37,Q1,2/163,imeta,iMeta,3.269,Q1,16.0,Biotechnology (Q1); Microbiology (Q1),"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
66.0,Nature Reviews Neurology,2024.0,NAT REV NEUROL,NATURE PORTFOLIO,1759-4758,1759-4766,22117.0,3.0,48.0,6.2,5.5,33.1,43.4,32.8,5.7,Q1,2/285,nature reviews neurology,Nat. Rev. Neurol.,6.237,Q1,207.0,Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1),Medicine; Neuroscience
67.0,JOURNAL OF HEPATOLOGY,2024.0,J HEPATOL,ELSEVIER,0168-8278,1600-0641,64858.0,146.0,159.0,5.9,5.6,33.0,28.1,31.7,6.33,Q1,3/147,journal of hepatology,J. Hepatol.,9.857,Q1,301.0,Hepatology (Q1),Medicine
68.0,Nature Photonics,2024.0,NAT PHOTONICS,NATURE PORTFOLIO,1749-4885,1749-4893,61047.0,150.0,158.0,7.7,6.3,32.9,38.2,32.3,7.47,Q1,1/125,nature photonics,Nat. Photonics,11.249,Q1,385.0,"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)",Materials Science; Physics and Astronomy
69.0,Lancet Respiratory Medicine,2024.0,LANCET RESP MED,ELSEVIER SCI LTD,2213-2600,,22960.0,58.0,67.0,4.5,5.1,32.8,35.4,32.6,8.78,Q1,1/108,lancet respiratory medicine,Lancet Resp. Med.,,,,,
70.0,Nature Reviews Rheumatology,2024.0,NAT REV RHEUMATOL,NATURE PORTFOLIO,1759-4790,1759-4804,17758.0,10.0,55.0,6.1,5.9,32.7,35.7,32.2,5.44,Q1,1/58,nature reviews rheumatology,Nat. Rev. Rheumatol.,,,,,
71.0,Annual Review of Astronomy and Astrophysics,2024.0,ANNU REV ASTRON ASTR,ANNUAL REVIEWS,0066-4146,1545-4282,17476.0,0.0,15.0,12.9,9.5,32.5,41.2,32.0,3.72,Q1,1/84,annual review of astronomy and astrophysics,Annu. Rev. Astron. Astrophys.,13.67,Q1,210.0,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),Earth and Planetary Sciences; Physics and Astronomy
72.0,NATURE METHODS,2024.0,NAT METHODS,NATURE PORTFOLIO,1548-7091,1548-7105,126671.0,231.0,238.0,8.4,5.4,32.1,51.7,31.1,7.32,Q1,1/86,nature methods,Nat. Methods,14.796,Q1,388.0,Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology"
72.0,eLight,2024.0,ELIGHT,SPRINGERNATURE,2097-1710,2662-8643,1809.0,18.0,21.0,2.0,6.1,32.1,32.2,31.8,7.17,Q1,2/125,elight,eLight,8.65,Q1,22.0,"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)",Materials Science; Physics and Astronomy
74.0,Interdisciplinary Materials,2024.0,INTERD MATER,WILEY,2767-4401,2767-441X,2501.0,34.0,65.0,2.1,4.6,31.6,31.6,30.7,2.72,Q1,9/460,interdisciplinary materials,Interdiscip. Mater.,,,,,
75.0,Annual Review of Organizational Psychology and Organizational Behavior,2024.0,ANNU REV ORGAN PSYCH,ANNUAL REVIEWS,2327-0608,2327-0616,6408.0,3.0,20.0,6.7,10.8,31.1,25.1,30.9,8.92,Q1,1/420,annual review of organizational psychology and organizational behavior,Annu. Rev. Organ. Psych.,7.706,Q1,75.0,Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1),"Business, Management and Accounting; Psychology"
