JCR_Position,Name,JCR Year,Abbr Name,Publisher,ISSN,EISSN,Total Cites,Total Articles,Citable Items,Cited Half-Life,Citing Half-Life,JIF,JIF5Years,JIF_NoSelfCite,JCI,Area,Rank,Normalized Journal,Journal_Abbreviation,SJR_Score,SJR_Quartile,H_Index,SJR_Categories,SJR_Areas,JIF_2024,Quartile_2024,WoS_Index,WoS_Categories,SJR_Year,SJR_Score_2023,SJR_Quartile_2023
12.0,World Psychiatry,2025.0,WORLD PSYCHIATRY,WILEY,1723-8617,2051-5545,17298.0,21.0,21.0,6.3,6.4,79.5,60.0,60.7,12.18,Q1,1/288,world psychiatry,World Psychiatry,20.787,Q1,170.0,Psychiatry and Mental Health (Q1),Medicine,65.8,Q1,"SCIE, SSCI",PSYCHIATRY,2025.0,15.827,Q1
13.0,ANNALS OF ONCOLOGY,2025.0,ANN ONCOL,ELSEVIER,0923-7534,1569-8041,68920.0,74.0,80.0,6.3,4.3,80.4,46.8,64.5,8.38,Q1,4/326,annals of oncology,Ann. Oncol.,21.715,Q1,331.0,Hematology (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1),Medicine,65.4,Q1,SCIE,ONCOLOGY,2025.0,13.942,Q1
14.0,Living Reviews in Relativity,2025.0,LIVING REV RELATIV,SPRINGER INT PUBL AG,2367-3613,1433-8351,5696.0,0.0,6.0,11.0,13.3,64.6,52.4,62.5,5.86,Q1,1/31,living reviews in relativity,Living Rev. Relativ.,14.227,Q1,107.0,Physics and Astronomy (miscellaneous) (Q1),Physics and Astronomy,62.5,Q1,SCIE,"PHYSICS, PARTICLES & FIELDS",2025.0,10.188,Q1
15.0,NATURE REVIEWS IMMUNOLOGY,2025.0,NAT REV IMMUNOL,NATURE PORTFOLIO,1474-1733,1474-1741,69495.0,76.0,124.0,8.6,6.8,47.1,77.6,60.5,7.86,Q1,1/183,nature reviews immunology,Nat. Rev. Immunol.,17.646,Q1,511.0,Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1),Immunology and Microbiology; Medicine,60.9,Q1,SCIE,IMMUNOLOGY,2025.0,16.009,Q1
16.0,Nature Reviews Disease Primers,2025.0,NAT REV DIS PRIMERS,NATURE PORTFOLIO,2056-676X,2056-676X,45742.0,4.0,42.0,5.8,6.9,79.8,104.8,60.6,21.18,Q1,3/332,nature reviews disease primers,Nat. Rev. Dis. Primers,15.606,Q1,236.0,Medicine (miscellaneous) (Q1),Medicine,60.6,Q1,SCIE,"MEDICINE, GENERAL & INTERNAL",2025.0,10.215,Q1
17.0,MMWR Recommendations and Reports,2025.0,MMWR RECOMM REP,CENTERS DISEASE CONTROL & PREVENTION,1057-5987,1545-8601,3790.0,6.0,6.0,8.0,14.9,51.3,50.0,60.0,10.91,Q1,1/419,mmwr recommendations and reports,MMWR Recomm. Rep.,27.974,Q1,158.0,"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)",Environmental Science; Health Professions; Medicine; Social Sciences,60.1,Q1,SCIE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2025.0,14.618,Q1
17.0,Nature Energy,2025.0,NAT ENERGY,NATURE PORTFOLIO,2058-7546,2058-7546,64421.0,214.0,222.0,4.8,4.7,70.1,68.9,59.4,8.48,Q1,2/460,nature energy,Nat. Energy,20.769,Q1,291.0,"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Energy; Materials Science,60.1,Q1,SCIE,"ENERGY & FUELS; MATERIALS SCIENCE, MULTIDISCIPLINARY",2025.0,17.497,Q1
19.0,Nature Reviews Methods Primers,2025.0,NAT REV METHOD PRIME,SPRINGERNATURE,2662-8449,2662-8449,14296.0,26.0,64.0,2.7,6.5,54.2,66.9,55.8,9.39,Q1,1/135,nature reviews methods primers,Nat. Rev. Methods Primers,14.459,Q1,88.0,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine",56.0,Q1,SCIE,MULTIDISCIPLINARY SCIENCES,2025.0,12.294,Q1
20.0,CHEMICAL REVIEWS,2025.0,CHEM REV,AMER CHEMICAL SOC,0009-2665,1520-6890,262229.0,0.0,212.0,8.3,7.4,64.2,67.5,55.3,4.03,Q1,1/239,chemical reviews,Chem. Rev.,16.918,Q1,905.0,Chemistry (miscellaneous) (Q1),Chemistry,55.8,Q1,SCIE,"CHEMISTRY, MULTIDISCIPLINARY",2025.0,17.828,Q1
21.0,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,2025.0,JAMA-J AM MED ASSOC,AMER MEDICAL ASSOC,0098-7484,1538-3598,205027.0,180.0,232.0,8.6,5.5,65.4,64.7,53.9,11.47,Q1,4/332,jama journal of the american medical association,JAMA,5.843,Q1,818.0,Medicine (miscellaneous) (Q1),Medicine,55.0,Q1,SCIE,"MEDICINE, GENERAL & INTERNAL",2025.0,5.928,Q1
22.0,Signal Transduction and Targeted Therapy,2025.0,SIGNAL TRANSDUCT TAR,SPRINGERNATURE,2095-9907,2059-3635,88969.0,156.0,245.0,2.8,6.0,81.2,52.2,52.1,5.04,Q1,1/319,signal transduction and targeted therapy,Signal Transduction Targeted Ther.,17.74,Q1,224.0,Cancer Research (Q1); Genetics (Q1),"Biochemistry, Genetics and Molecular Biology",52.7,Q1,SCIE,BIOCHEMISTRY & MOLECULAR BIOLOGY; CELL BIOLOGY,2025.0,8.737,Q1
23.0,NATURE REVIEWS GENETICS,2025.0,NAT REV GENET,NATURE PORTFOLIO,1471-0056,1471-0064,46718.0,0.0,54.0,9.1,5.9,51.4,57.1,51.5,6.66,Q1,1/191,nature reviews genetics,Nat. Rev. Genet.,20.403,Q1,458.0,Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine",52.0,Q1,SCIE,GENETICS & HEREDITY,2025.0,14.293,Q1
24.0,Nature Reviews Chemistry,2025.0,NAT REV CHEM,NATURE PORTFOLIO,2397-3358,2397-3358,19843.0,0.0,48.0,4.1,6.4,50.3,49.4,51.4,3.28,Q1,2/239,nature reviews chemistry,Nat. Rev. Chem.,13.684,Q1,153.0,Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1),Chemical Engineering; Chemistry,51.7,Q1,SCIE,"CHEMISTRY, MULTIDISCIPLINARY",2025.0,11.603,Q1
25.0,Nature Reviews Gastroenterology & Hepatology,2025.0,NAT REV GASTRO HEPAT,NATURE PORTFOLIO,1759-5045,1759-5053,35643.0,0.0,48.0,5.3,5.9,57.5,72.4,50.4,8.1,Q1,1/147,nature reviews gastroenterology and hepatology,Nat. Rev. Gastroenterol. Hepatol.,9.982,Q1,236.0,Gastroenterology (Q1); Hepatology (Q1),Medicine,51.0,Q1,SCIE,GASTROENTEROLOGY & HEPATOLOGY,2025.0,9.741,Q1
26.0,NATURE MEDICINE,2025.0,NAT MED,NATURE PORTFOLIO,1078-8956,1546-170X,154284.0,325.0,343.0,6.3,5.0,52.5,52.4,49.2,11.03,Q1,1/195,nature medicine,Nat. Med.,17.496,Q1,676.0,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine",50.0,Q1,SCIE,"BIOCHEMISTRY & MOLECULAR BIOLOGY; CELL BIOLOGY; MEDICINE, RESEARCH & EXPERIMENTAL",2025.0,19.045,Q1
27.0,MMWR Surveillance Summaries,2025.0,MMWR SURVEILL SUMM,CENTERS DISEASE CONTROL & PREVENTION,1545-8636,1545-8636,3511.0,3.0,3.0,6.1,,96.9,34.1,49.8,15.95,Q1,2/419,mmwr surveillance summaries,MMWR Surveill. Summ.,14.728,Q1,121.0,"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)",Environmental Science; Health Professions; Medicine; Social Sciences,49.8,Q1,SCIE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2025.0,10.275,Q1
28.0,NATURE,2025.0,NATURE,NATURE PORTFOLIO,0028-0836,1476-4687,1053832.0,1361.0,1393.0,10.0,7.2,56.1,55.0,47.7,11.12,Q1,2/135,nature,Nature,19.713,Q1,1495.0,Multidisciplinary (Q1),Multidisciplinary,48.5,Q1,SCIE,MULTIDISCIPLINARY SCIENCES,2025.0,18.509,Q1
29.0,IEEE Communications Surveys and Tutorials,2025.0,IEEE COMMUN SURV TUT,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1553-877X,1553-877X,37232.0,74.0,74.0,5.2,5.2,50.6,42.8,45.6,10.2,Q1,1/258,ieee communications surveys and tutorials,IEEE Commun. Surv. Tutorials,14.838,Q1,314.0,Electrical and Electronic Engineering (Q1),Engineering,46.7,Q1,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS; TELECOMMUNICATIONS",2025.0,15.966,Q1
30.0,SCIENCE,2025.0,SCIENCE,AMER ASSOC ADVANCEMENT SCIENCE,0036-8075,1095-9203,831162.0,768.0,800.0,11.5,7.5,47.3,49.7,45.3,8.98,Q1,3/135,science,Science,10.948,Q1,1433.0,History and Philosophy of Science (Q1); Multidisciplinary (Q1),Arts and Humanities; Multidisciplinary,45.8,Q1,SCIE,MULTIDISCIPLINARY SCIENCES,2025.0,11.902,Q1
31.0,LANCET NEUROLOGY,2025.0,LANCET NEUROL,ELSEVIER SCIENCE INC,1474-4422,1474-4465,59391.0,61.0,79.0,7.2,4.6,54.6,56.2,44.6,12.19,Q1,1/285,lancet neurology,Lancet Neurol.,12.439,Q1,398.0,Neurology (clinical) (Q1),Medicine,45.5,Q1,SCIE,CLINICAL NEUROLOGY,2025.0,,
32.0,REVIEWS OF MODERN PHYSICS,2025.0,REV MOD PHYS,AMER PHYSICAL SOC,0034-6861,1539-0756,71972.0,0.0,32.0,14.9,9.9,48.9,56.3,44.6,4.08,Q1,1/114,reviews of modern physics,Rev. Mod. Phys.,13.041,Q1,417.0,Physics and Astronomy (miscellaneous) (Q1),Physics and Astronomy,44.8,Q1,SCIE,"PHYSICS, MULTIDISCIPLINARY",2025.0,16.061,Q1
33.0,Nature Catalysis,2025.0,NAT CATAL,NATURE PORTFOLIO,2520-1158,2520-1158,38981.0,156.0,165.0,4.1,6.5,48.3,47.4,44.2,5.63,Q1,1/185,nature catalysis,Nat. Catal.,16.266,Q1,188.0,Biochemistry (Q1); Bioengineering (Q1); Catalysis (Q1); Process Chemistry and Technology (Q1),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering",44.6,Q1,SCIE,"CHEMISTRY, PHYSICAL",2025.0,13.315,Q1
34.0,CANCER CELL,2025.0,CANCER CELL,CELL PRESS,1535-6108,1878-3686,64398.0,105.0,112.0,7.0,5.8,56.1,47.2,43.9,8.11,Q1,5/326,cancer cell,Cancer Cell,26.632,Q1,436.0,Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine",44.5,Q1,SCIE,CELL BIOLOGY; ONCOLOGY,2025.0,17.507,Q1
35.0,Nature Reviews Cardiology,2025.0,NAT REV CARDIOL,NATURE PORTFOLIO,1759-5002,1759-5010,27057.0,4.0,52.0,4.9,7.0,50.2,52.9,43.7,8.32,Q1,1/230,nature reviews cardiology,Nat. Rev. Cardiol.,11.209,Q1,224.0,Cardiology and Cardiovascular Medicine (Q1),Medicine,44.2,Q1,SCIE,CARDIAC & CARDIOVASCULAR SYSTEMS,2025.0,8.408,Q1
36.0,BMJ-British Medical Journal,2025.0,BMJ-BRIT MED J,BMJ PUBLISHING GROUP,0959-535X,1756-1833,188624.0,132.0,153.0,8.6,3.9,55.1,76.1,40.4,9.96,Q1,5/332,bmj british medical journal,BMJ,1.988,Q1,543.0,Medicine (miscellaneous) (Q1),Medicine,42.7,Q1,SCIE,"MEDICINE, GENERAL & INTERNAL",2025.0,,
37.0,CELL,2025.0,CELL,CELL PRESS,0092-8674,1097-4172,329596.0,357.0,409.0,9.3,7.3,45.1,48.9,41.9,7.99,Q1,3/319,cell,Cell,24.592,Q1,956.0,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology",42.5,Q1,SCIE,BIOCHEMISTRY & MOLECULAR BIOLOGY; CELL BIOLOGY,2025.0,24.342,Q1
38.0,JOURNAL OF CLINICAL ONCOLOGY,2025.0,J CLIN ONCOL,LIPPINCOTT WILLIAMS & WILKINS,0732-183X,1527-7755,180692.0,342.0,365.0,7.8,5.9,44.7,37.7,41.1,6.68,Q1,6/326,journal of clinical oncology,J. Clin. Oncol.,4.648,Q1,666.0,Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine",41.9,Q1,SCIE,ONCOLOGY,2025.0,10.639,Q1
39.0,Lancet Diabetes & Endocrinology,2025.0,LANCET DIABETES ENDO,ELSEVIER SCIENCE INC,2213-8587,2213-8595,26882.0,56.0,67.0,5.1,5.3,36.3,41.7,41.1,8.5,Q1,1/191,lancet diabetes and endocrinology,Lancet Diabetes Endocrinol.,11.61,Q1,207.0,"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine",41.8,Q1,SCIE,ENDOCRINOLOGY & METABOLISM,2025.0,,
40.0,NATURE BIOTECHNOLOGY,2025.0,NAT BIOTECHNOL,NATURE PORTFOLIO,1087-0156,1546-1696,111118.0,256.0,265.0,6.9,5.8,44.5,59.5,41.0,8.57,Q1,2/177,nature biotechnology,Nat. Biotechnol.,23.109,Q1,553.0,Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Immunology and Microbiology",41.7,Q1,SCIE,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2025.0,18.117,Q1
41.0,Nature Electronics,2025.0,NAT ELECTRON,NATURE PORTFOLIO,2520-1131,2520-1131,26060.0,146.0,156.0,3.8,5.3,42.3,42.0,40.1,5.8,Q1,1/366,nature electronics,Nat. Electron.,12.43,Q1,159.0,"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Instrumentation (Q1)",Engineering; Materials Science; Physics and Astronomy,40.9,Q1,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC",2025.0,11.667,Q1
42.0,Journal of Hematology & Oncology,2025.0,J HEMATOL ONCOL,BMC,1756-8722,1756-8722,32695.0,33.0,79.0,4.1,4.9,47.8,34.4,40.0,5.04,Q1,1/98,journal of hematology and oncology,J. Hematol. Oncol.,11.824,Q1,194.0,Cancer Research (Q1); Hematology (Q1); Molecular Biology (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine",40.4,Q1,SCIE,HEMATOLOGY; ONCOLOGY,2025.0,7.522,Q1
43.0,Nature Reviews Endocrinology,2025.0,NAT REV ENDOCRINOL,NATURE PORTFOLIO,1759-5029,1759-5037,27488.0,3.0,50.0,6.2,6.7,39.1,47.0,39.6,4.95,Q1,2/191,nature reviews endocrinology,Nat. Rev. Endocrinol.,9.087,Q1,240.0,"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine",40.0,Q1,SCIE,ENDOCRINOLOGY & METABOLISM,2025.0,7.274,Q1
43.0,PROGRESS IN MATERIALS SCIENCE,2025.0,PROG MATER SCI,PERGAMON-ELSEVIER SCIENCE LTD,0079-6425,1873-2208,44527.0,0.0,126.0,5.8,5.4,42.9,44.8,39.6,2.42,Q1,3/460,progress in materials science,Prog. Mater Sci.,8.365,Q1,278.0,Materials Science (miscellaneous) (Q1),Materials Science,40.0,Q1,SCIE,"MATERIALS SCIENCE, MULTIDISCIPLINARY",2025.0,7.796,Q1
45.0,Nature Reviews Nephrology,2025.0,NAT REV NEPHROL,NATURE PORTFOLIO,1759-5061,1759-507X,23411.0,3.0,48.0,5.3,6.9,46.7,44.5,39.3,7.36,Q1,2/133,nature reviews nephrology,Nat. Rev. Nephrol.,10.732,Q1,195.0,Nephrology (Q1),Medicine,39.8,Q1,SCIE,UROLOGY & NEPHROLOGY,2025.0,5.939,Q1
46.0,Nature Reviews Physics,2025.0,NAT REV PHYS,NATURE PORTFOLIO,2522-5820,2522-5820,16004.0,0.0,48.0,3.6,6.4,46.6,53.2,39.2,3.03,Q1,1/187,nature reviews physics,Nat. Rev. Phys.,9.588,Q1,110.0,Physics and Astronomy (miscellaneous) (Q1),Physics and Astronomy,39.5,Q1,SCIE,"PHYSICS, APPLIED; PHYSICS, MULTIDISCIPLINARY",2025.0,7.833,Q1
47.0,CHEMICAL SOCIETY REVIEWS,2025.0,CHEM SOC REV,ROYAL SOC CHEMISTRY,0306-0012,1460-4744,194270.0,0.0,309.0,7.4,5.8,48.3,50.1,38.6,2.95,Q1,3/239,chemical society reviews,Chem. Soc. Rev.,11.348,Q1,709.0,Chemistry (miscellaneous) (Q1),Chemistry,39.0,Q1,SCIE,"CHEMISTRY, MULTIDISCIPLINARY",2025.0,12.511,Q1
48.0,CIRCULATION,2025.0,CIRCULATION,LIPPINCOTT WILLIAMS & WILKINS,0009-7322,1524-4539,186674.0,246.0,310.0,10.5,6.5,41.3,35.9,37.7,9.01,Q1,1/98,circulation,Circulation,8.311,Q1,712.0,Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1),Medicine,38.6,Q1,SCIE,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE,2025.0,8.415,Q1
48.0,Lancet Gastroenterology & Hepatology,2025.0,LANCET GASTROENTEROL,ELSEVIER INC,2468-1253,2468-1253,19481.0,52.0,68.0,3.7,4.9,39.1,34.0,38.1,6.9,Q1,2/147,lancet gastroenterology and hepatology,Lancet Gastroenterol.,13.113,Q1,141.0,Gastroenterology (Q1); Hepatology (Q1),Medicine,38.6,Q1,SCIE,GASTROENTEROLOGY & HEPATOLOGY,2025.0,,
50.0,NATURE MATERIALS,2025.0,NAT MATER,NATURE PORTFOLIO,1476-1122,1476-4660,120629.0,271.0,281.0,8.3,6.7,38.0,46.8,38.2,5.99,Q1,1/79,nature materials,Nat. Mater.,13.131,Q1,608.0,Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1),Chemistry; Engineering; Materials Science; Physics and Astronomy,38.5,Q1,SCIE,"CHEMISTRY, PHYSICAL; MATERIALS SCIENCE, MULTIDISCIPLINARY; PHYSICS, APPLIED; PHYSICS, CONDENSED MATTER",2025.0,14.231,Q1
51.0,Nature Reviews Bioengineering,2025.0,NAT REV BIOENG,SPRINGERNATURE,2731-6092,2731-6092,5529.0,1.0,72.0,1.3,5.7,42.7,37.6,36.8,3.25,Q1,1/124,nature reviews bioengineering,Nat. Rev. Bioeng.,9.178,Q1,44.0,Applied Microbiology and Biotechnology (Q1); Biomedical Engineering (Q1); Biophysics (Q1),"Biochemistry, Genetics and Molecular Biology; Engineering; Immunology and Microbiology",37.6,Q1,SCIE,"ENGINEERING, BIOMEDICAL; MATERIALS SCIENCE, BIOMATERIALS",2025.0,,
52.0,REVIEWS OF GEOPHYSICS,2025.0,REV GEOPHYS,AMER GEOPHYSICAL UNION,8755-1209,1944-9208,21762.0,0.0,15.0,12.8,9.1,38.5,34.6,37.2,3.26,Q1,1/100,reviews of geophysics,Rev. Geophys.,15.383,Q1,219.0,Geophysics (Q1),Earth and Planetary Sciences,37.3,Q1,SCIE,GEOCHEMISTRY & GEOPHYSICS,2025.0,8.853,Q1
53.0,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,2025.0,PROG ENERG COMBUST,PERGAMON-ELSEVIER SCIENCE LTD,0360-1285,1873-216X,19918.0,0.0,27.0,7.8,7.9,41.3,39.3,36.8,2.67,Q1,1/175,progress in energy and combustion science,Prog. Energy Combust. Sci.,8.013,Q1,257.0,Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1),Chemical Engineering; Energy,37.0,Q1,SCIE,"ENERGY & FUELS; ENGINEERING, CHEMICAL; ENGINEERING, MECHANICAL; THERMODYNAMICS",2025.0,6.114,Q1
54.0,eScience,2025.0,ESCIENCE,KEAI PUBLISHING LTD,2097-2431,2667-1417,9810.0,40.0,63.0,1.8,4.7,52.9,35.9,35.9,5.58,Q1,5/460,escience,eScience,11.618,Q1,82.0,"Electrochemistry (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Chemistry; Energy; Materials Science,36.6,Q1,SCIE,"ELECTROCHEMISTRY; MATERIALS SCIENCE, MULTIDISCIPLINARY",2025.0,12.288,Q1
55.0,Nano-Micro Letters,2025.0,NANO-MICRO LETT,SHANGHAI JIAO TONG UNIV PRESS,2311-6706,2150-5551,47648.0,186.0,266.0,2.6,4.2,38.5,30.1,34.6,5.04,Q1,2/147,nano micro letters,Nano Micro Lett.,8.402,Q1,176.0,"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Nanoscience and Nanotechnology (Q1); Surfaces, Coatings and Films (Q1)",Engineering; Materials Science,36.3,Q1,SCIE,"MATERIALS SCIENCE, MULTIDISCIPLINARY; NANOSCIENCE & NANOTECHNOLOGY; PHYSICS, APPLIED",2025.0,6.484,Q1
